Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Short course , Seduction and Terror: Hitler's Germany , Freie Universität Berlin , Berlin,History,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,17/08/2024,20/07/2024,22/06/2024
Language course , Semi-Intensive German Language and Culture Course at Five Levels , Freie Universität Berlin , Berlin,"German Language and Literature (German, Germanic Languages except English)",German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,26/01/2024,03/01/2024,22/11/2023
Language course , Semi-Intensive German Language and Culture Course at Five Levels , Freie Universität Berlin , Berlin,"German Language and Literature (German, Germanic Languages except English)",German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,223905.5,,,,,13/07/2024,01/06/2024,04/05/2024
Language course , Semi-Intensive German Language and Culture Course at Five Levels , Freie Universität Berlin , Berlin,"German Language and Literature (German, Germanic Languages except English)",German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,17/08/2024,20/07/2024,22/06/2024
Master's degree , Sensor Systems Technology (SSTM) , Karlsruhe University of Applied Sciences , Karlsruhe,Electrical Engineering,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , SIA — Sustainable International Agriculture (MSc) , University of Göttingen , Göttingen,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Simulation and System Design (SSD) , Stralsund University of Applied Sciences , Stralsund,Mechanical Engineering / Process Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Slavery Studies , University of Bonn , Bonn,History,English,,Winter semester,No application deadline,,,,No,No,No,No,No,Yes,No,No,,,2.0,12.0,1.0,,,
Master's degree , Smart Energy Systems , Ansbach University of Applied Sciences , Feuchtwangen,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Smart Production Engineering (SPE) , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,726180.0,4.0,24.0,2.0,,,
Master's degree , Social and Cultural Anthropology , University of Bayreuth , Bayreuth,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Social and Cultural Anthropology , University of Tübingen , Tübingen,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,4.0,24.0,2.0,,,
Master's degree , Social and Economic Data Science (SEDS) – Master of Science , University of Konstanz , Konstanz,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Social Anthropology / Sozialanthropologie , University of Münster , Münster,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Social Design and Sustainable Innovation (MA) , SRH Berlin University of Applied Sciences , Berlin,Design,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,689871.0,4.0,24.0,2.0,,,
Master's degree , Social Protection (MSc) , Hochschule Bonn-Rhein-Sieg , Sankt Augustin,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,3.0,18.0,1.5,,,
Bachelor's degree ," Social Sciences (German-French), BA ", University of Stuttgart , Stuttgart,Social Science,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Sociology and Social Research - Master of Science , University of Cologne , Köln,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Sociology of Inequality (Master of Arts) , University of Konstanz , Konstanz,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Software Engineering (MSc) , University of Hildesheim , Hildesheim,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Software Engineering (SEM) , Heilbronn University of Applied Sciences , Heilbronn,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Software Engineering for Industrial Applications (MEng) , Hof University of Applied Sciences , Hof,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,399399.0,4.0,24.0,2.0,,,
Master's degree , Software Systems Engineering , RWTH Aachen University , Aachen,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Software Technology , Hochschule für Technik Stuttgart - University of Applied Sciences , Stuttgart,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Solar Energy Engineering Master of Science , University of Freiburg , Freiburg im Breisgau,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,Yes,No,No,No,,441759.5,5.0,30.0,2.5,,,
Master's degree , Solar System Physics (SSP) , Technische Universität Braunschweig , Braunschweig,"Physics, Astronomy",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Solar System School — International Max Planck Research School for Solar System Science (PhD) , University of Göttingen , Göttingen,"Physics, Astronomy",English,,Any time,"1 October
Please plan ahead for any admission tests that you may be required to tak…",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Space Engineering I (SpE-I) , University of Bremen , Bremen,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Space Engineering II (SpE-II) , University of Bremen , Bremen,Engineering in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST) ", University of Bremen , Bremen,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Spanish Culture and European Identity / Spanische Kultur und Europäische Identität / Cultura y pensamiento europeo: tradición y pervivencia , University of Bonn , Bonn,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Spatial Planning for Regions in Growing Economies (SPRING) , TU Dortmund University , Dortmund,Town and Country Planning,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Language course , Special Course in Business German , Heidelberg University , Heidelberg,Business and Economics,German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,99244.6,,,,,28/08/2024,01/08/2024,
PhD / Doctorate , Spemann Graduate School of Biology and Medicine (SGBM) , University of Freiburg , Freiburg im Breisgau,Biology,English,,Any time,Consult the website: https://www.sgbm.uni-freiburg.de,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Sport and Exercise Sciences for Health and Performance , Ruhr-Universität Bochum , Bochum,Sport,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Sport Science for Health , University of Konstanz , Konstanz,Sport,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Sport Science – Movement and Wellbeing (MSc) , Johannes Gutenberg University Mainz , Mainz,Sport,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," Sports, Exercise and Human Performance ", University of Münster , Münster,Sport,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Language course , Spring Course: Communication in Everyday and Academic Life , University of Göttingen , Göttingen,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,Yes,No,No,54463.5,,,,,28/03/2024,06/03/2024,31/01/2024
Master's degree , Standards of Decision-Making Across Cultures (SDAC) , FAU Erlangen-Nürnberg , Erlangen,Languages and Cultural Studies in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course , Startup Fundamentals , Technische Universität Berlin , Berlin,Business and Economics,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,236008.5,,,,,12/01/2024,02/01/2024,04/12/2023
Master's degree , Strategic Design (MA) , SRH Berlin University of Applied Sciences , Berlin,Design,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,689871.0,4.0,24.0,2.0,,,
Master's degree , Strategic International Management (MSc) , Hochschule Fresenius - University of Applied Sciences , Köln,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , Strategic International Management (MSc) , Hochschule Fresenius - University of Applied Sciences , Berlin,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , Strategic Management in Logistics (SMiL) , bbw Hochschule - University of Applied Sciences , Berlin,Industrial Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,464755.2,4.0,24.0,2.0,,,
Master's degree , Strategic Marketing & Brand Management (MSc) , Hochschule Fresenius - University of Applied Sciences , Köln,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , Strategic Marketing & Brand Management (MSc) , Hochschule Fresenius - University of Applied Sciences , Berlin,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Short course , Strategy and Brand Management in the Brewing Industry , Hochschule für Wirtschaft und Recht Berlin , Berlin,Business and Economics,English,"English: B2, C1",,No application deadline,,,,No,No,No,No,No,No,Yes,No,112557.9,,,,,20/01/2024,01/01/2024,15/10/2023
Master's degree , Strategy and International Security (MSIS) , University of Bonn , Bonn,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course , Strollology – Walking as Creative Practice , Bauhaus-Universität Weimar , Weimar,"Art, Art Theory in general",English,"English: B1, B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,83510.7,,,,,31/08/2024,17/08/2024,01/05/2024
Master's degree , Structural Chemistry and Spectroscopy (SCS) , Leipzig University , Leipzig,Chemistry,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Structural Engineering , University of Duisburg-Essen , Duisburg,Civil Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
Bachelor's degree , Studium Individuale (Bachelor's) , Leuphana University Lüneburg , Lüneburg,Philosophy,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Preparatory course , Study Preparation Brandenburg , University of Potsdam , Potsdam,,,,,No application deadline,Bachelor,"Engineering | Languages and Cultural Studies | Law, Economics and Social Sciences | Mathematics, Natural Sciences | Sport",German,No,No,No,No,No,No,Yes,No,,,,,,27/06/2025,07/10/2025,15/08/2024
Short course , Study Semester Computer Science Bachelor , Trier University of Applied Sciences , Trier,Computer Science,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,36309.0,,,,,02/10/2023,02/10/2023,02/10/2023
Short course , Study Semester: Food Economy and Process Technology , Trier University of Applied Sciences , Trier,"Agriculture, Food and Beverage Technology",English,English: B1,,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,,,,31/07/2024,01/04/2024,15/12/2023
